vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
116I 2006,Chapa Puerta,Trasera Derecha,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Cigüeñal,,NO DISPONIBLE,SANTIAGO,,,,MALO,
116I 2006,Cinta De Airbag,,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,
116I 2006,Cinturón,Trasera Izquierda,DISPONIBLE,SANTIAGO,10000.0,10000.0,,,
116I 2006,Cinturón,Trasera Derecha,DISPONIBLE,SANTIAGO,10000.0,10000.0,,,
116I 2006,Cofia,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Columna De Dirección,,VENDIDO,SANTIAGO,45000.0,40000.0,,REVISAR,
116I 2006,Comando De Luces,,DISPONIBLE,,45000.0,40000.0,,,Sin ubicación
116I 2006,Compresor Aire,,VENDIDO,SANTIAGO,130000.0,120000.0,,,
116I 2006,Control De Sunroof Y Luces Interiores,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,Posible múltiple repuesto
116I 2006,Cremallera De Alzavidrio,Delantera Izquierda,VENDIDO,SANTIAGO,45000.0,40000.0,,,
116I 2006,Cremallera De Alzavidrio,Delantera Derecha,VENDIDO,SANTIAGO,45000.0,40000.0,,,
116I 2006,Cremallera De Alzavidrio,Trasera Izquierda,VENDIDO,SANTIAGO,35000.0,30000.0,,CON DETALLE ,
116I 2006,Cremallera De Alzavidrio,Trasera Derecha,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Cremallera De Dirección,,VENDIDO,SANTIAGO,130000.0,120000.0,,,
116I 2006,Cubre Carter,,NO DISPONIBLE,N/A,,,,,
116I 2006,Cubre Equipaje,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Cubre Motor,Superior,DISPONIBLE,SANTIAGO,35700.0,30000.0,,,
116I 2006,Cubre Rueda De Repuesto,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Cubre Torpedo,Inferior Exterior,DISPONIBLE,SANTIAGO,25000.0,20000.0,,METÁLICO,
116I 2006,Cubre Torpedo,Superior Exterior,DISPONIBLE,SANTIAGO,45000.0,40000.0,,PLÁSTICO,
116I 2006,Cubre Zócalo,Izquierda,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Cubre Zócalo,Derecha,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Cuerpo De Aceleración,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,
116I 2006,Culata,,DISPONIBLE,,270000.0,260000.0,,,Sin ubicación
116I 2006,Cuna,Delantera,VENDIDO,SANTIAGO,110000.0,100000.0,,,
116I 2006,Cuna,Trasera,VENDIDO,SANTIAGO,120000.0,100000.0,,,
116I 2006,Depósito De Agua O Líquido Refrigerante,,VENDIDO,SANTIAGO,45000.0,40000.0,,,
116I 2006,Depósito De Limpiaparabrisas,,DISPONIBLE,SANTIAGO,50000.0,40000.0,,,
116I 2006,Depósito De Líquido Hidráulico,,VENDIDO,SANTIAGO,35000.0,30000.0,,,
116I 2006,Diferencial,Trasera,NO DISPONIBLE,SANTIAGO,160000.0,150000.0,,PRECIO ACTUALIZADO ,
116I 2006,Disco De Freno,Delantera Izquierda,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Disco De Freno,Delantera Derecha,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Disco De Freno,Trasera Izquierda,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Disco De Freno,Trasera Derecha,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Ecu,,VENDIDO,SANTIAGO,145000.0,130000.0,,,
116I 2006,Eje Palier,Trasera Izquierda,DISPONIBLE,SANTIAGO,75000.0,70000.0,,,
116I 2006,Eje Palier,Trasera Derecha,DISPONIBLE,SANTIAGO,75000.0,70000.0,,,
116I 2006,Electroventilador,,VENDIDO,SANTIAGO,55000.0,50000.0,,,
116I 2006,Encendedor De Cigarros,,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Enganche Cinturones,Trasera,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Espejo,Central,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Espejo,Izquierda,VENDIDO,SANTIAGO,80000.0,75000.0,,,
116I 2006,Espejo,Derecha,VENDIDO,SANTIAGO,80000.0,75000.0,,,
116I 2006,Espiral,Trasera Izquierda,NO DISPONIBLE,SANTIAGO,,,,,
116I 2006,Espiral,Trasera Derecha,NO DISPONIBLE,SANTIAGO,,,,,
116I 2006,Fierro Refuerzo,Interior,VENDIDO,SANTIAGO,15000.0,15000.0,,,
116I 2006,Flujómetro,,DISPONIBLE,SANTIAGO,50000.0,40000.0,,,
116I 2006,Foco,Trasera Derecha,VENDIDO,SANTIAGO,45000.0,40000.0,,TRIZADO,
116I 2006,Foco,Trasera Izquierda,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,
116I 2006,Frontal ,Delantera,VENDIDO,SANTIAGO,170000.0,160000.0,,,
116I 2006,Funda De Parachoque,Delantera,VENDIDO,SANTIAGO,100000.0,95000.0,,,
116I 2006,Funda De Parachoque,Trasera,DISPONIBLE,SANTIAGO,90000.0,80000.0,,,
116I 2006,Fusilera,,DISPONIBLE,SANTIAGO,,,,CUÁL,
116I 2006,Gancho O Chapa De Seguridad Capot,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Goma Puerta,Delantera Izquierda,NO DISPONIBLE,N/A,,,,,
116I 2006,Goma Puerta,Delantera Derecha,NO DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Goma Puerta,Trasera Izquierda,NO DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Goma Puerta,Trasera Derecha,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Guardafango,Delantera Izquierda,VENDIDO,SANTIAGO,50000.0,45000.0,,,
116I 2006,Guardafango,Delantera Derecha,NO DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Guardafango,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Guardafango,Trasera Derecha,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Kit De Airbag,,DISPONIBLE,SANTIAGO,280000.0,250000.0,,,
116I 2006,Kit De Embrague,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Letras 116I,,DISPONIBLE,,25000.0,20000.0,,1+1+6+i,Sin ubicación; Nombre contiene números
116I 2006,Llanta Con Neumático,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,JUEGO 260000,
116I 2006,Llanta Con Neumático,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,
116I 2006,Llanta Con Neumático,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,
116I 2006,Llanta Con Neumático,,DISPONIBLE,SANTIAGO,80000.0,70000.0,,,
116I 2006,Llave (Está Sin Paleta (Se Vendió)),,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Logo Capot,,VENDIDO,SANTIAGO,30000.0,25000.0,,,
